7.467591203749179840e-03,-2.033506706357002258e-02,-1.228563934564590454e-01
1.175020448863506317e-02,-2.835958078503608704e-02,-2.273033410310745239e-01
1.783365011215209961e-02,-3.304349631071090698e-02,-3.311281800270080566e-01
2.530101686716079712e-02,-3.598920255899429321e-02,-4.342523217201232910e-01
3.382699191570281982e-02,-3.803804889321327209e-02,-5.365374088287353516e-01
7.250238209962844849e-03,-1.527798082679510117e-02,-5.054544806480407715e-01
-1.422400772571563721e-02,2.741916850209236145e-02,-6.541494131088256836e-01
-3.083779476583003998e-02,-3.437424823641777039e-02,-7.124421596527099609e-01
-5.503504350781440735e-02,-1.009065434336662292e-01,-5.504434704780578613e-01
-7.298589497804641724e-02,-1.547058522701263428e-01,-4.537531435489654541e-01
-8.042119443416595459e-02,-2.093366831541061401e-01,-3.892503082752227783e-01
-3.715290129184722900e-02,-2.508458495140075684e-01,-2.101100832223892212e-01
-4.702676553279161453e-03,-2.571758329868316650e-01,-9.881815314292907715e-02
1.755009964108467102e-02,-2.716584205627441406e-01,-8.063598722219467163e-02
3.568824753165245056e-02,-2.919802069664001465e-01,-1.082728654146194458e-01
4.074874147772789001e-02,-2.861065864562988281e-01,-6.581124663352966309e-02
3.853471949696540833e-02,-2.693961262702941895e-01,-5.757453665137290955e-02
3.374837338924407959e-02,-2.491320073604583740e-01,-4.155626520514488220e-02
1.777358725666999817e-02,-2.083568871021270752e-01,-1.715351454913616180e-02
6.174023263156414032e-03,-1.840608716011047363e-01,2.222950011491775513e-02
-6.630271673202514648e-03,-1.602805256843566895e-01,5.985869839787483215e-02
-1.469221152365207672e-02,-1.417513340711593628e-01,1.318688541650772095e-01
-2.854996733367443085e-02,-1.206241771578788757e-01,1.651123464107513428e-01
-4.093150421977043152e-02,-1.159953251481056213e-01,2.121323794126510620e-01
-5.455315113067626953e-02,-9.430033713579177856e-02,2.561636567115783691e-01
-6.461947411298751831e-02,-7.678578048944473267e-02,3.025281131267547607e-01
-7.404582202434539795e-02,-5.996649712324142456e-02,3.302583694458007812e-01
-7.963261753320693970e-02,-4.279808327555656433e-02,3.447835147380828857e-01
-8.689332753419876099e-02,-2.552690543234348297e-02,3.383986651897430420e-01
